employee_id,full_name,gender,birth_date,hire_date,department,position,salary,bonus,experience_years,projects_completed,city,email,phone,performance_score,last_promotion_date,vacation_days_used,education_level,certifications,team_size
EMP06686,Volkova Anastasiya,Female,1998-11-21,2020-05-15 14:02:20.049925,Финансы,Lead,283000.0,26476.75,6.1,24.0,Москва,volkova.anastasiya@yandex.ru,,4.3,,14.0,Магистр,1.0,22.0
EMP09341,Tarasev Petr,Male,1978-01-05,2020-07-31 14:02:20.285656,Продажи,Senior,,12634.84,6.0,16.0,Санкт-Петербург,petr23@yandex.ru,8 (955) 634-31-96,3.3,,1.0,Кандидат наук,4.0,0.0
EMP05026,Orlov Andrey,Male,1991-03-04,2024-03-21 14:02:19.803175,R&D,Senior,118000.0,8935.17,2.3,12.0,Саратов,orlov.andrey@yandex.ru,некорректный номер,3.3,2025-03-21 14:02:19.803175,27.0,Магистр,2.0,0.0
EMP09705,Belyaeva Aleksandra,Female,1981-03-14,2013-09-16 14:02:20.306527,Консалтинг,Director,622000.0,99935.86,12.8,18.0,Санкт-Петербург,belyaevaa@yandex.ru,89682533660,4.7,2021-09-16 14:02:20.306527,20.0,Магистр,3.0,25.0
EMP06206,Sidorova Elena,Female,1980-05-03,2020-11-03 14:02:19.981862,Логистика,Lead,221000.0,18377.69,5.7,6.0,Москва,,,3.9,,10.0,Бакалавр,4.0,9.0
EMP01193,Novikova Alina,Female,1979-05-11,2023-03-23 14:02:18.580976,Юридический,Senior,197000.0,14268.27,3.2,11.0,Москва,alina662@yandex.ru,+79884576814,3.8,2026-03-22 14:02:18.580976,20.0,Магистр,4.0,0.0
EMP02560,Lebedev Evgeniy,Male,2006-05-25,2025-05-29 14:02:19.128647,Производство,Middle,46000.0,2117.34,1.1,0.0,,lebedeve@yandex.ru,89224891902,2.8,,5.0,Среднее,2.0,
EMP02137,Kozlov Yuriy,Male,1972-07-12,2019-08-06 14:02:18.990725,Маркетинг,Lead,,26423.89,6.9,10.0,Москва,kozlovy@yandex.ru,,3.5,,24.0,Кандидат наук,3.0,47.0
EMP00120,Petrova Olga,Female,2006-10-20,2025-05-22 14:02:18.261808,IT,Middle,77000.0,,1.1,1.0,Краснодар,petrova_olga@yandex.ru,,3.0,,6.0,Бакалавр,2.0,
EMP04757,Nikolaeva Yuliya,Female,1974-04-04,2017-07-17 14:02:19.762527,Маркетинг,Lead,201000.0,19616.87,9.0,31.0,Саратов,nikolaeva29@yandex.ru,8 (928) 306-56-40,3.9,,14.0,Магистр,3.0,15.0
EMP05168,Zakharova Valentina,Female,2000-03-04,2022-08-17 14:02:19.839980,R&D,Middle,126000.0,,3.8,4.0,Москва,valentina.zakharova@yandex.ru,8 (904) 318-31-59,3.0,,3.0,Магистр,1.0,
EMP09076,Petrov Alexey,Male,1985-05-27,2017-09-30 14:02:20.270553,Продажи,Lead,246000.0,23658.89,8.7,33.0,Пермь,petrov984@yandex.ru,8 (949) 165-96-66,4.2,2024-09-29 14:02:20.270553,30.0,Магистр,5.0,17.0
EMP02618,Volkov Konstantin,Male,1996-07-25,2022-10-09 14:02:19.145343,IT,Senior,189000.0,19590.51,3.7,13.0,Санкт-Петербург,konstantin_volkov@yandex.ru,+79481580953,4.0,,19.0,,4.0,
EMP02238,Sorokina Olga,Female,1983-11-08,2025-04-08 14:02:19.023618,R&D,Middle,106000.0,6796.56,1.2,0.0,Санкт-Петербург,sorokina.olga@yandex.ru,8 (979) 577-52-95,3.1,,3.0,Магистр,1.0,0.0
